Coin Name,Ticker,X-Spot-Id,X-Post-Id,Conversation Id
Staked Frax Ether,SFRXETH-USD,sp_Rba9aFpG,finmb$SFRXETH$CCC,sp_Rba9aFpG_finmb$SFRXETH$CCC
cWBTC,CWBTC-USD,sp_Rba9aFpG,finmb$CWBTC$CCC,sp_Rba9aFpG_finmb$CWBTC$CCC
BitTorrent,BTT-USD,sp_Rba9aFpG,finmb$BTT$CCC,sp_Rba9aFpG_finmb$BTT$CCC
Terra Luna Classic,LUNC-USD,sp_Rba9aFpG,finmb$LUNC$CCC,sp_Rba9aFpG_finmb$LUNC$CCC
Coinbase Wrapped Staked ETH,CBETH-USD,sp_Rba9aFpG,finmb$CBETH$CCC,sp_Rba9aFpG_finmb$CBETH$CCC
NEXO,NEXO-USD,sp_Rba9aFpG,finmb$NEXO$CCC,sp_Rba9aFpG_finmb$NEXO$CCC
Kujira,KUJI-USD,sp_Rba9aFpG,finmb$KUJI$CCC,sp_Rba9aFpG_finmb$KUJI$CCC
Zcash,ZEC-USD,sp_Rba9aFpG,finmb$ZEC$CCC,sp_Rba9aFpG_finmb$ZEC$CCC
Osmosis,OSMO-USD,sp_Rba9aFpG,finmb$OSMO$CCC,sp_Rba9aFpG_finmb$OSMO$CCC
WOO Network,WOO-USD,sp_Rba9aFpG,finmb$WOO$CCC,sp_Rba9aFpG_finmb$WOO$CCC
Beam,BEAM-USD,sp_Rba9aFpG,finmb$BEAM$CCC,sp_Rba9aFpG_finmb$BEAM$CCC
Casper Network,CSPR-USD,sp_Rba9aFpG,finmb$CSPR$CCC,sp_Rba9aFpG_finmb$CSPR$CCC
Akash Network,AKT-USD,sp_Rba9aFpG,finmb$AKT$CCC,sp_Rba9aFpG_finmb$AKT$CCC
1inch,1INCH-USD,sp_Rba9aFpG,finmb$1INCH$CCC,sp_Rba9aFpG_finmb$1INCH$CCC
SingularityNET,AGIX-USD,sp_Rba9aFpG,finmb$AGIX$CCC,sp_Rba9aFpG_finmb$AGIX$CCC
Aleph Zero,AZERO-USD,sp_Rba9aFpG,finmb$AZERO$CCC,sp_Rba9aFpG_finmb$AZERO$CCC
Oasis Network,ROSE-USD,sp_Rba9aFpG,finmb$ROSE$CCC,sp_Rba9aFpG_finmb$ROSE$CCC
Zilliqa,ZIL-USD,sp_Rba9aFpG,finmb$ZIL$CCC,sp_Rba9aFpG_finmb$ZIL$CCC
Astar,ASTR-USD,sp_Rba9aFpG,finmb$ASTR$CCC,sp_Rba9aFpG_finmb$ASTR$CCC
Dash,DASH-USD,sp_Rba9aFpG,finmb$DASH$CCC,sp_Rba9aFpG_finmb$DASH$CCC
Marinade staked SOL,MSOL-USD,sp_Rba9aFpG,finmb$MSOL$CCC,sp_Rba9aFpG_finmb$MSOL$CCC
FLOKI,FLOKI-USD,sp_Rba9aFpG,finmb$FLOKI$CCC,sp_Rba9aFpG_finmb$FLOKI$CCC
Huobi BTC,HBTC-USD,sp_Rba9aFpG,finmb$HBTC$CCC,sp_Rba9aFpG_finmb$HBTC$CCC
Sei,SEI-USD,sp_Rba9aFpG,finmb$SEI$CCC,sp_Rba9aFpG_finmb$SEI$CCC
Qtum,QTUM-USD,sp_Rba9aFpG,finmb$QTUM$CCC,sp_Rba9aFpG_finmb$QTUM$CCC
Flare,FLR-USD,sp_Rba9aFpG,finmb$FLR$CCC,sp_Rba9aFpG_finmb$FLR$CCC
NEM,XEM-USD,sp_Rba9aFpG,finmb$XEM$CCC,sp_Rba9aFpG_finmb$XEM$CCC
APENFT,NFT-USD,sp_Rba9aFpG,finmb$NFT$CCC,sp_Rba9aFpG_finmb$NFT$CCC
Helium,HNT-USD,sp_Rba9aFpG,finmb$HNT$CCC,sp_Rba9aFpG_finmb$HNT$CCC
Basic Attention,BAT-USD,sp_Rba9aFpG,finmb$BAT$CCC,sp_Rba9aFpG_finmb$BAT$CCC
Worldcoin,WLD-USD,sp_Rba9aFpG,finmb$WLD$CCC,sp_Rba9aFpG_finmb$WLD$CCC
MX,MX-USD,sp_Rba9aFpG,finmb$MX$CCC,sp_Rba9aFpG_finmb$MX$CCC
Convex Finance,CVX-USD,sp_Rba9aFpG,finmb$CVX$CCC,sp_Rba9aFpG_finmb$CVX$CCC
Beldex,BDX-USD,sp_Rba9aFpG,finmb$BDX$CCC,sp_Rba9aFpG_finmb$BDX$CCC
SKALE,SKL-USD,sp_Rba9aFpG,finmb$SKL$CCC,sp_Rba9aFpG_finmb$SKL$CCC
Bitcoin Gold,BTG-USD,sp_Rba9aFpG,finmb$BTG$CCC,sp_Rba9aFpG_finmb$BTG$CCC
ARK,ARK-USD,sp_Rba9aFpG,finmb$ARK$CCC,sp_Rba9aFpG_finmb$ARK$CCC
CorgiAI,CORGIAI-USD,sp_Rba9aFpG,finmb$CORGIAI$CCC,sp_Rba9aFpG_finmb$CORGIAI$CCC
SafePal,SFP-USD,sp_Rba9aFpG,finmb$SFP$CCC,sp_Rba9aFpG_finmb$SFP$CCC
JUST,JST-USD,sp_Rba9aFpG,finmb$JST$CCC,sp_Rba9aFpG_finmb$JST$CCC
Theta Fuel,TFUEL-USD,sp_Rba9aFpG,finmb$TFUEL$CCC,sp_Rba9aFpG_finmb$TFUEL$CCC
yearn.finance,YFI-USD,sp_Rba9aFpG,finmb$YFI$CCC,sp_Rba9aFpG_finmb$YFI$CCC
Enjin Coin,ENJ-USD,sp_Rba9aFpG,finmb$ENJ$CCC,sp_Rba9aFpG_finmb$ENJ$CCC
Holo,HOT-USD,sp_Rba9aFpG,finmb$HOT$CCC,sp_Rba9aFpG_finmb$HOT$CCC
Celo,CELO-USD,sp_Rba9aFpG,finmb$CELO$CCC,sp_Rba9aFpG_finmb$CELO$CCC
OKT Chain,OKT-USD,sp_Rba9aFpG,finmb$OKT$CCC,sp_Rba9aFpG_finmb$OKT$CCC
Loopring,LRC-USD,sp_Rba9aFpG,finmb$LRC$CCC,sp_Rba9aFpG_finmb$LRC$CCC
Fasttoken,FTN-USD,sp_Rba9aFpG,finmb$FTN$CCC,sp_Rba9aFpG_finmb$FTN$CCC
Lido Staked SOL,STSOL-USD,sp_Rba9aFpG,finmb$STSOL$CCC,sp_Rba9aFpG_finmb$STSOL$CCC
JasmyCoin,JASMY-USD,sp_Rba9aFpG,finmb$JASMY$CCC,sp_Rba9aFpG_finmb$JASMY$CCC
Ankr Network,ANKR-USD,sp_Rba9aFpG,finmb$ANKR$CCC,sp_Rba9aFpG_finmb$ANKR$CCC
Chia,XCH-USD,sp_Rba9aFpG,finmb$XCH$CCC,sp_Rba9aFpG_finmb$XCH$CCC
Golem,GLM-USD,sp_Rba9aFpG,finmb$GLM$CCC,sp_Rba9aFpG_finmb$GLM$CCC
ICON,ICX-USD,sp_Rba9aFpG,finmb$ICX$CCC,sp_Rba9aFpG_finmb$ICX$CCC
