Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-08-01,KSM-USD,20.530981063842773,20.68549919128418,18.783069610595703,20.255516052246094,20.255516052246094,18296967
2024-08-02,KSM-USD,20.255516052246094,20.31973648071289,18.621864318847656,18.832365036010742,18.832365036010742,21488342
2024-08-03,KSM-USD,18.832365036010742,19.1865291595459,17.563573837280273,18.17096519470215,18.17096519470215,19965348
2024-08-04,KSM-USD,18.17096519470215,18.66163444519043,16.77614402770996,17.570785522460938,17.570785522460938,22595145
2024-08-05,KSM-USD,17.570785522460938,17.699722290039062,13.939191818237305,16.004547119140625,16.004547119140625,44556723
2024-08-06,KSM-USD,16.004547119140625,17.37220001220703,16.00386619567871,16.817394256591797,16.817394256591797,23708475
2024-08-07,KSM-USD,16.817394256591797,17.23998260498047,15.932756423950195,16.07721710205078,16.07721710205078,20858167
2024-08-08,KSM-USD,16.07721710205078,18.043840408325195,15.820176124572754,18.017192840576172,18.017192840576172,16859026
2024-08-09,KSM-USD,18.017192840576172,18.023143768310547,17.296405792236328,17.46653938293457,17.46653938293457,13380468
2024-08-10,KSM-USD,17.46653938293457,18.135517120361328,17.157548904418945,18.01382064819336,18.01382064819336,9967880
2024-08-11,KSM-USD,18.01382064819336,18.07769775390625,16.80165672302246,16.84237289428711,16.84237289428711,10991112
2024-08-12,KSM-USD,16.84237289428711,17.966398239135742,16.84215545654297,17.56622314453125,17.56622314453125,15939219
2024-08-13,KSM-USD,17.56622314453125,17.944272994995117,17.077533721923828,17.862123489379883,17.862123489379883,11652219
2024-08-14,KSM-USD,17.862123489379883,17.896202087402344,17.138896942138672,17.351911544799805,17.351911544799805,12970861
2024-08-15,KSM-USD,17.351911544799805,17.93767738342285,16.622791290283203,16.893630981445312,16.893630981445312,14612546
2024-08-16,KSM-USD,16.893630981445312,17.21565818786621,16.364517211914062,16.806013107299805,16.806013107299805,11593189
2024-08-17,KSM-USD,16.806013107299805,17.111095428466797,16.681468963623047,16.87660026550293,16.87660026550293,8012083
2024-08-18,KSM-USD,16.87660026550293,17.677326202392578,16.706193923950195,17.27334976196289,17.27334976196289,9923538
2024-08-19,KSM-USD,17.27334976196289,17.79779052734375,17.062026977539062,17.780824661254883,17.780824661254883,11040165
2024-08-20,KSM-USD,17.780824661254883,18.18692970275879,17.486902236938477,18.172548294067383,18.172548294067383,12436117
2024-08-21,KSM-USD,18.165813446044922,20.379152297973633,18.165813446044922,19.796749114990234,19.796749114990234,17668704
2024-08-22,KSM-USD,19.796749114990234,21.138261795043945,19.576797485351562,20.779775619506836,20.779775619506836,17332258
2024-08-23,KSM-USD,20.779775619506836,21.605846405029297,20.55739974975586,21.461027145385742,21.461027145385742,16317981
2024-08-24,KSM-USD,21.461105346679688,22.723102569580078,21.161230087280273,22.26149559020996,22.26149559020996,13701958
2024-08-25,KSM-USD,22.26149559020996,22.582462310791016,21.405736923217773,21.973670959472656,21.973670959472656,12081509
2024-08-26,KSM-USD,21.973670959472656,22.247337341308594,20.687408447265625,20.74080467224121,20.74080467224121,11616747
2024-08-27,KSM-USD,20.74080467224121,21.289085388183594,19.33070945739746,19.805294036865234,19.805294036865234,13864975
