Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-08-01,MKR-USD,2805.01513671875,2808.53076171875,2654.4853515625,2742.944091796875,2742.944091796875,125059498
2024-08-02,MKR-USD,2742.944091796875,2742.960693359375,2427.26220703125,2429.375244140625,2429.375244140625,128855121
2024-08-03,MKR-USD,2429.375244140625,2434.15625,2311.290283203125,2315.400146484375,2315.400146484375,81699876
2024-08-04,MKR-USD,2315.3984375,2315.411865234375,2111.5654296875,2170.367919921875,2170.367919921875,79719325
2024-08-05,MKR-USD,2170.367919921875,2177.8134765625,1779.45849609375,1904.9798583984375,1904.9798583984375,252872575
2024-08-06,MKR-USD,1904.9727783203125,2025.4056396484375,1856.5118408203125,1863.266845703125,1863.266845703125,124822204
2024-08-07,MKR-USD,1863.2801513671875,1923.9178466796875,1759.8323974609375,1793.0045166015625,1793.0045166015625,109775042
2024-08-08,MKR-USD,1793.201904296875,2064.56396484375,1785.5452880859375,2054.48095703125,2054.48095703125,119472938
2024-08-09,MKR-USD,2054.48095703125,2083.555419921875,1982.772705078125,2008.24951171875,2008.24951171875,82338180
2024-08-10,MKR-USD,2008.24951171875,2024.6246337890625,1951.61767578125,1971.81640625,1971.81640625,47246288
2024-08-11,MKR-USD,1971.973876953125,2026.236083984375,1881.11572265625,1887.3497314453125,1887.3497314453125,54297255
2024-08-12,MKR-USD,1887.3497314453125,2027.565185546875,1874.43994140625,2016.778076171875,2016.778076171875,73497849
2024-08-13,MKR-USD,2016.778076171875,2157.30078125,1974.602783203125,2137.810791015625,2137.810791015625,109677242
2024-08-14,MKR-USD,2137.810791015625,2155.914794921875,2029.3172607421875,2059.36181640625,2059.36181640625,76050253
2024-08-15,MKR-USD,2059.36181640625,2064.316162109375,1949.1256103515625,1962.2452392578125,1962.2452392578125,59085381
2024-08-16,MKR-USD,1962.2452392578125,1995.2027587890625,1941.2435302734375,1977.530517578125,1977.530517578125,56985160
2024-08-17,MKR-USD,1977.530517578125,1978.1263427734375,1939.7137451171875,1953.488525390625,1953.488525390625,37476368
2024-08-18,MKR-USD,1953.488525390625,1985.695068359375,1935.8795166015625,1936.262451171875,1936.262451171875,34386249
2024-08-19,MKR-USD,1936.262451171875,1959.966064453125,1897.6719970703125,1959.7005615234375,1959.7005615234375,43681880
2024-08-20,MKR-USD,1959.7005615234375,1982.3094482421875,1914.7381591796875,1939.5499267578125,1939.5499267578125,43241419
2024-08-21,MKR-USD,1939.5499267578125,2056.748779296875,1920.41943359375,2035.6925048828125,2035.6925048828125,72317934
2024-08-22,MKR-USD,2035.6925048828125,2053.075439453125,1995.4569091796875,2025.138916015625,2025.138916015625,42888298
2024-08-23,MKR-USD,2025.138916015625,2187.643310546875,2023.3984375,2175.0498046875,2175.0498046875,91112226
2024-08-24,MKR-USD,2175.0498046875,2194.544189453125,2113.56787109375,2135.2421875,2135.2421875,73343125
2024-08-25,MKR-USD,2135.2421875,2157.845703125,2084.06298828125,2133.53564453125,2133.53564453125,53131435
2024-08-26,MKR-USD,2133.551513671875,2147.20751953125,2075.2109375,2083.650634765625,2083.650634765625,50988907
2024-08-27,MKR-USD,2083.650634765625,2165.956787109375,1943.5672607421875,1968.2374267578125,1968.2374267578125,136853991
2024-08-28,MKR-USD,1968.2374267578125,1968.2442626953125,1796.8084716796875,1818.74609375,1818.74609375,133066820
2024-08-29,MKR-USD,1818.7423095703125,1831.260498046875,1767.2266845703125,1778.558349609375,1778.558349609375,59571331
2024-08-30,MKR-USD,1778.558349609375,1795.069091796875,1715.154541015625,1769.0838623046875,1769.0838623046875,52301957
2024-08-31,MKR-USD,1769.0838623046875,1771.9200439453125,1746.2452392578125,1756.3134765625,1756.3134765625,24930049
2024-09-01,MKR-USD,1756.3134765625,1761.3878173828125,1677.9129638671875,1688.2152099609375,1688.2152099609375,45661079
2024-09-02,MKR-USD,1688.2152099609375,1776.1724853515625,1687.6064453125,1757.7462158203125,1757.7462158203125,53007611
2024-09-03,MKR-USD,1757.7462158203125,1774.0601806640625,1670.565185546875,1679.0030517578125,1679.0030517578125,53264038
2024-09-04,MKR-USD,1679.0030517578125,1705.309326171875,1621.58544921875,1672.8851318359375,1672.8851318359375,56056742
2024-09-05,MKR-USD,1672.8851318359375,1686.260009765625,1616.4583740234375,1626.839599609375,1626.839599609375,37883305
2024-09-06,MKR-USD,1626.839599609375,1647.7911376953125,1494.2371826171875,1529.70068359375,1529.70068359375,57806219
2024-09-07,MKR-USD,1529.70068359375,1562.0848388671875,1524.41455078125,1540.5546875,1540.5546875,28045399
2024-09-08,MKR-USD,1540.5546875,1572.4654541015625,1508.0980224609375,1540.2138671875,1540.2138671875,37774403
2024-09-09,MKR-USD,1540.237548828125,1671.0919189453125,1529.79541015625,1610.4000244140625,1610.4000244140625,84866702
2024-09-10,MKR-USD,1610.4000244140625,1614.64013671875,1574.2354736328125,1608.1282958984375,1608.1282958984375,45939844
2024-09-11,MKR-USD,1608.1282958984375,1608.65966796875,1529.3992919921875,1595.514892578125,1595.514892578125,59113840
2024-09-12,MKR-USD,1595.514892578125,1629.2568359375,1591.9415283203125,1621.81103515625,1621.81103515625,41946743
2024-09-13,MKR-USD,1621.81103515625,1637.6600341796875,1592.4375,1634.7149658203125,1634.7149658203125,37950707
2024-09-14,MKR-USD,1634.7149658203125,1655.164794921875,1586.064697265625,1603.5986328125,1603.5986328125,44176684
2024-09-15,MKR-USD,1603.5986328125,1620.3656005859375,1532.1527099609375,1539.7894287109375,1539.7894287109375,34083272
2024-09-16,MKR-USD,1539.7894287109375,1541.289794921875,1502.7088623046875,1522.0601806640625,1522.0601806640625,38191365
2024-09-17,MKR-USD,1522.0601806640625,1566.660888671875,1483.20361328125,1499.702880859375,1499.702880859375,41906081
2024-09-18,MKR-USD,1499.702880859375,1512.960205078125,1436.274658203125,1512.693359375,1512.693359375,51373213
2024-09-19,MKR-USD,1512.693359375,1579.560546875,1511.736083984375,1523.4945068359375,1523.4945068359375,57476696
2024-09-20,MKR-USD,1523.4945068359375,1587.3819580078125,1503.129638671875,1517.7880859375,1517.7880859375,75648215
2024-09-21,MKR-USD,1517.7880859375,1589.0166015625,1482.7568359375,1584.492431640625,1584.492431640625,47411767
2024-09-22,MKR-USD,1584.492431640625,1629.2779541015625,1540.883544921875,1582.6591796875,1582.6591796875,79367188
2024-09-23,MKR-USD,1582.6591796875,1653.198486328125,1557.804443359375,1634.1005859375,1634.1005859375,81928034
2024-09-24,MKR-USD,1634.1005859375,1638.849365234375,1563.4569091796875,1593.9521484375,1593.9521484375,58696199
2024-09-25,MKR-USD,1593.9521484375,1607.577392578125,1544.3695068359375,1549.9759521484375,1549.9759521484375,58544036
2024-09-26,MKR-USD,1549.9759521484375,1613.5772705078125,1527.70849609375,1606.0469970703125,1606.0469970703125,61604579
2024-09-27,MKR-USD,1606.0469970703125,1719.4727783203125,1602.0335693359375,1706.8150634765625,1706.8150634765625,106585954
2024-09-28,MKR-USD,1706.783447265625,1716.0711669921875,1668.157470703125,1688.2890625,1688.2890625,62935531
2024-09-29,MKR-USD,1688.374267578125,1692.177734375,1642.5040283203125,1662.927978515625,1662.927978515625,49925630
2024-09-30,MKR-USD,1662.927978515625,1662.927978515625,1556.932861328125,1569.8504638671875,1569.8504638671875,70478343
2024-10-01,MKR-USD,1569.8504638671875,1610.8963623046875,1464.7467041015625,1487.0166015625,1487.0166015625,85214701
2024-10-02,MKR-USD,1487.0340576171875,1523.9022216796875,1443.7091064453125,1454.367431640625,1454.367431640625,65101006
2024-10-03,MKR-USD,1454.367431640625,1476.8046875,1407.544189453125,1433.379638671875,1433.379638671875,59988849
2024-10-04,MKR-USD,1433.379638671875,1465.7628173828125,1427.5421142578125,1459.8916015625,1459.8916015625,36210151
2024-10-05,MKR-USD,1459.8916015625,1463.8651123046875,1437.9219970703125,1455.77587890625,1455.77587890625,22921019
2024-10-06,MKR-USD,1455.77587890625,1475.2701416015625,1449.92578125,1452.64404296875,1452.64404296875,23655912
2024-10-07,MKR-USD,1452.64404296875,1491.6807861328125,1389.6572265625,1400.4498291015625,1400.4498291015625,92748659
2024-10-08,MKR-USD,1400.4498291015625,1429.369384765625,1400.376953125,1409.4453125,1409.4453125,58239032
2024-10-09,MKR-USD,1409.4453125,1419.8050537109375,1340.121337890625,1351.449462890625,1351.449462890625,48471423
2024-10-10,MKR-USD,1351.449462890625,1375.133544921875,1322.2513427734375,1352.531005859375,1352.531005859375,73280741
2024-10-11,MKR-USD,1352.531005859375,1381.7113037109375,1352.392578125,1365.6807861328125,1365.6807861328125,61367534
2024-10-12,MKR-USD,1365.6807861328125,1380.96044921875,1353.135498046875,1356.772705078125,1356.772705078125,106608914
2024-10-13,MKR-USD,1356.688232421875,1361.618896484375,1312.1104736328125,1327.2989501953125,1327.2989501953125,73724346
2024-10-14,MKR-USD,1327.2989501953125,1393.5418701171875,1322.6431884765625,1393.5418701171875,1393.5418701171875,83871729
2024-10-15,MKR-USD,1393.5418701171875,1437.5892333984375,1295.3548583984375,1323.950439453125,1323.950439453125,153544468
2024-10-16,MKR-USD,1323.950439453125,1329.1544189453125,1277.3568115234375,1279.6165771484375,1279.6165771484375,100808977
2024-10-17,MKR-USD,1279.6165771484375,1294.8131103515625,1191.8226318359375,1200.858154296875,1200.858154296875,97188248
2024-10-18,MKR-USD,1200.858154296875,1217.92333984375,1192.20556640625,1205.6697998046875,1205.6697998046875,69943386
2024-10-19,MKR-USD,1205.6697998046875,1222.0654296875,1200.437255859375,1215.7032470703125,1215.7032470703125,52499807
2024-10-20,MKR-USD,1215.7032470703125,1239.5491943359375,1200.1356201171875,1228.820068359375,1228.820068359375,61243779
2024-10-21,MKR-USD,1228.820068359375,1240.8450927734375,1183.76611328125,1184.046875,1184.046875,78278624
2024-10-22,MKR-USD,1184.046875,1222.1702880859375,1158.328125,1213.4171142578125,1213.4171142578125,103574363
2024-10-23,MKR-USD,1213.4171142578125,1217.2008056640625,1138.509033203125,1159.9188232421875,1159.9188232421875,88949145
2024-10-24,MKR-USD,1161.1922607421875,1172.905029296875,1131.268798828125,1135.864990234375,1135.864990234375,50012525
2024-10-25,MKR-USD,1135.864990234375,1136.2962646484375,1017.15234375,1056.8388671875,1056.8388671875,91871049
2024-10-26,MKR-USD,1056.816162109375,1130.3505859375,1055.6209716796875,1101.823486328125,1101.823486328125,59787174
2024-10-27,MKR-USD,1101.823486328125,1113.85400390625,1092.8087158203125,1102.5833740234375,1102.5833740234375,35512392
2024-10-28,MKR-USD,1102.5833740234375,1123.9490966796875,1093.0059814453125,1116.8516845703125,1116.8516845703125,61820056
2024-10-29,MKR-USD,1116.8260498046875,1155.97119140625,1110.1722412109375,1152.6004638671875,1152.6004638671875,63666229
2024-10-30,MKR-USD,1152.6004638671875,1267.6197509765625,1144.914794921875,1246.7841796875,1246.7841796875,141527589
2024-10-31,MKR-USD,1246.7841796875,1331.469482421875,1239.161865234375,1268.9512939453125,1268.9512939453125,147666732
